"country","volume","dense_rank"
"Bolivia (Plurinational State of)",23880000,1
"Colombia",3524700000,2
"Costa Rica",640740000,3
"Cuba",77100000,4
"El Salvador",602520000,5
"Ethiopia",637560000,6
"Haiti",108420000,7
"Honduras",458220000,8
"Jamaica",7320000,9
"Kenya",338580000,10
"Malawi",25680000,11
"Nepal",0,12
"Nicaragua",145260000,13
"Panama",44820000,14
"Paraguay",19920000,15
"Peru",273840000,16
"Rwanda",126120000,17
"Timor-Leste",0,18
"Venezuela",276660000,19
"Yemen",0,20
"Zambia",6480000,21
"Zimbabwe",32580000,22
"Brazil",7040940000,1
"Burundi",130020000,2
"Dominican Republic",146580000,3
"Ecuador",412920000,4
"Guatemala",877320000,5
"Mexico",1069500000,6
"Papua New Guinea",217740000,7
"Tanzania",194520000,8
"Central African Republic",36000000,1
"Congo",720000,2
"C̫te d'Ivoire",696480000,3
"Equatorial Guinea",540000,4
"Gabon",660000,5
"Ghana",11760000,6
"Guinea",16500000,7
"Guyana",0,8
"Lao People's Democratic Republic",0,9
"Liberia",840000,10
"Madagascar",208740000,11
"Nigeria",10020000,12
"Sierra Leone",10380000,13
"Togo",52500000,14
"Trinidad & Tobago",3780000,15
"Angola",14400000,1
"Cameroon",261060000,2
"Democratic Republic of Congo",298200000,3
"India",731100000,4
"Indonesia",1694760000,5
"Philippines",227220000,6
"Sri Lanka",17100000,7
"Thailand",285360000,8
"Uganda",562200000,9
"Viet Nam",486480000,10
